candidate_id,train_valid_expiries,train_gated_trades,train_gate_rate,train_mean_pnl_per_expiry,train_mean_pnl_per_gated,train_win_rate,train_es95,train_es99,train_worst_pnl,feasible,split,selected_candidate_id
Q18p0_33p0_67p0_82p0,52,36,0.6923076923076923,223.92910456731045,323.45315104167065,0.6666666666666666,9782.370914417623,10323.902441531933,-34299.37718750011,False,split_a,Q20p5_35p0_65p0_79p5
Q18p0_34p0_66p0_82p0,52,35,0.6730769230769231,203.248563701927,301.96929464286274,0.6571428571428571,10013.565838166025,10599.08904110691,-34299.37718750011,False,split_a,Q20p5_35p0_65p0_79p5
Q18p0_35p0_65p0_80p0,52,33,0.6346153846153846,544.721730769235,858.3493939394007,0.696969696969697,10415.058752953724,11065.868050993335,-40605.60218750011,False,split_a,Q20p5_35p0_65p0_79p5
Q18p0_35p0_65p0_80p5,52,33,0.6346153846153846,461.63182692308123,727.4198484848553,0.696969696969697,10510.568082252465,11189.812745796826,-40605.60218750011,False,split_a,Q20p5_35p0_65p0_79p5
Q18p0_35p0_65p0_81p0,52,33,0.6346153846153846,372.5863461538504,587.1057575757642,0.6666666666666666,10499.737864518094,11170.09067448329,-40605.60218750011,False,split_a,Q20p5_35p0_65p0_79p5
Q18p0_35p0_65p0_81p5,52,33,0.6346153846153846,420.6153365384656,662.7878030303096,0.6363636363636364,10393.157496325066,11027.834778437547,-35578.12718750011,False,split_a,Q20p5_35p0_65p0_79p5
Q18p0_35p0_65p0_82p0,52,33,0.6346153846153846,379.7427884615426,598.3825757575825,0.6363636363636364,10420.742858613245,11073.44518498758,-35578.12718750011,False,split_a,Q20p5_35p0_65p0_79p5
Q18p0_36p0_64p0_82p0,52,34,0.6538461538461539,256.3764783653887,392.10520220588865,0.6176470588235294,10427.242386057034,11027.895950445394,-33610.31468750011,False,split_a,Q20p5_35p0_65p0_79p5
Q18p0_37p0_63p0_82p0,52,34,0.6538461538461539,324.6156610576964,496.47101102941804,0.5882352941176471,10433.40489755245,10967.615162380724,-33610.31468750011,False,split_a,Q20p5_35p0_65p0_79p5
Q18p5_35p0_65p0_80p0,52,33,0.6346153846153846,617.5334134615426,973.0829545454611,0.7272727272727273,10275.200572774134,10858.078237441205,-40605.60218750011,False,split_a,Q20p5_35p0_65p0_79p5
