ev_tolerance,win_rate_tolerance_pp,candidate_id,label,mean_es99_inr_proxy,es99_reduction_pct,win_rate,mean_net_pnl_per_valid_expiry,mean_net_pnl_per_gated_trade,session_ev_retention,gated_ev_retention,win_delta_pp,gated_trades
0.0,0.0,Q21p0_33p0_67p0_79p0,outer_-1.0pp_inner_+2.0pp,12304.10794550543,3.0277039214592905,0.7796610169491526,1116.3109610969445,1854.211426906789,1.2120659212711349,1.0888049801249176,0.6076111288775166,59
0.0,1.0,Q21p0_33p0_67p0_79p0,outer_-1.0pp_inner_+2.0pp,12304.10794550543,3.0277039214592905,0.7796610169491526,1116.3109610969445,1854.211426906789,1.2120659212711349,1.0888049801249176,0.6076111288775166,59
0.0,2.0,Q21p0_33p0_67p0_79p0,outer_-1.0pp_inner_+2.0pp,12304.10794550543,3.0277039214592905,0.7796610169491526,1116.3109610969445,1854.211426906789,1.2120659212711349,1.0888049801249176,0.6076111288775166,59
0.0,5.0,Q21p0_33p0_67p0_79p0,outer_-1.0pp_inner_+2.0pp,12304.10794550543,3.0277039214592905,0.7796610169491526,1116.3109610969445,1854.211426906789,1.2120659212711349,1.0888049801249176,0.6076111288775166,59
0.02,0.0,Q21p0_33p0_67p0_79p0,outer_-1.0pp_inner_+2.0pp,12304.10794550543,3.0277039214592905,0.7796610169491526,1116.3109610969445,1854.211426906789,1.2120659212711349,1.0888049801249176,0.6076111288775166,59
0.02,1.0,Q21p0_33p0_67p0_79p0,outer_-1.0pp_inner_+2.0pp,12304.10794550543,3.0277039214592905,0.7796610169491526,1116.3109610969445,1854.211426906789,1.2120659212711349,1.0888049801249176,0.6076111288775166,59
0.02,2.0,Q21p0_33p0_67p0_79p0,outer_-1.0pp_inner_+2.0pp,12304.10794550543,3.0277039214592905,0.7796610169491526,1116.3109610969445,1854.211426906789,1.2120659212711349,1.0888049801249176,0.6076111288775166,59
0.02,5.0,Q21p0_33p0_67p0_79p0,outer_-1.0pp_inner_+2.0pp,12304.10794550543,3.0277039214592905,0.7796610169491526,1116.3109610969445,1854.211426906789,1.2120659212711349,1.0888049801249176,0.6076111288775166,59
0.05,0.0,Q22p0_33p0_67p0_78p0,outer_-2.0pp_inner_+2.0pp,12080.965355085202,4.786356352159659,0.7758620689655172,984.9979496173531,1664.3068803879414,1.0694891377577855,0.9772917982959072,0.22771633051398288,58
0.05,1.0,Q22p0_33p0_67p0_78p0,outer_-2.0pp_inner_+2.0pp,12080.965355085202,4.786356352159659,0.7758620689655172,984.9979496173531,1664.3068803879414,1.0694891377577855,0.9772917982959072,0.22771633051398288,58
0.05,2.0,Q22p0_33p0_67p0_78p0,outer_-2.0pp_inner_+2.0pp,12080.965355085202,4.786356352159659,0.7758620689655172,984.9979496173531,1664.3068803879414,1.0694891377577855,0.9772917982959072,0.22771633051398288,58
0.05,5.0,Q22p0_33p0_67p0_78p0,outer_-2.0pp_inner_+2.0pp,12080.965355085202,4.786356352159659,0.7758620689655172,984.9979496173531,1664.3068803879414,1.0694891377577855,0.9772917982959072,0.22771633051398288,58
0.1,0.0,Q22p0_33p0_67p0_78p0,outer_-2.0pp_inner_+2.0pp,12080.965355085202,4.786356352159659,0.7758620689655172,984.9979496173531,1664.3068803879414,1.0694891377577855,0.9772917982959072,0.22771633051398288,58
0.1,1.0,Q22p0_33p0_67p0_78p0,outer_-2.0pp_inner_+2.0pp,12080.965355085202,4.786356352159659,0.7758620689655172,984.9979496173531,1664.3068803879414,1.0694891377577855,0.9772917982959072,0.22771633051398288,58
0.1,2.0,Q22p0_33p0_67p0_78p0,outer_-2.0pp_inner_+2.0pp,12080.965355085202,4.786356352159659,0.7758620689655172,984.9979496173531,1664.3068803879414,1.0694891377577855,0.9772917982959072,0.22771633051398288,58
0.1,5.0,Q22p0_33p0_67p0_78p0,outer_-2.0pp_inner_+2.0pp,12080.965355085202,4.786356352159659,0.7758620689655172,984.9979496173531,1664.3068803879414,1.0694891377577855,0.9772917982959072,0.22771633051398288,58
