candidate_id,family,label,target_q20,target_q35,target_q65,target_q80,valid_expiries,gated_trades,gate_rate,mean_net_pnl_per_valid_expiry,mean_net_pnl_per_gated_trade,median_net_pnl_per_gated_trade,win_rate,mean_es95_inr_proxy,mean_es99_inr_proxy,mean_shock9p3_gross_loss_inr,p05_realized_net_pnl_inr,p01_realized_net_pnl_inr,common_gated_n,common_gate_mean_delta_pnl_inr,common_gate_mean_delta_es99_inr,session_ev_retention,gated_ev_retention,win_delta_pp,es99_reduction_pct,shock_reduction_pct
Q18p0_33p0_67p0_82p0,COMBINED_SYMMETRIC,outer_+2.0pp_inner_+2.0pp,0.18,0.33,0.67,0.82,98,62,0.6326530612244898,883.1610446428622,1395.9642318548465,2411.107031250046,0.6935483870967742,11437.256852068458,11979.028833974524,111493.52831854833,-17648.791390624898,-31320.745014375076,53,-253.2650353773582,-313.83745477096693,0.9589168632313259,0.8197192540525847,-8.003651856360317,5.589748077113765,-0.1182652671763984
Q22p0_33p0_67p0_78p0,COMBINED_SYMMETRIC,outer_-2.0pp_inner_+2.0pp,0.22,0.33,0.67,0.78,98,58,0.5918367346938775,984.9979496173531,1664.3068803879414,3649.979250000047,0.7758620689655172,11638.048054653014,12080.965355085202,113552.74809482755,-22165.551865624904,-35399.97822687508,52,221.28118028846305,-295.26433071890443,1.0694891377577855,0.9772917982959072,0.22771633051398288,4.786356352159659,-1.9673906371790784
Q19p0_33p0_67p0_81p0,COMBINED_SYMMETRIC,outer_+1.0pp_inner_+2.0pp,0.19,0.33,0.67,0.81,98,57,0.5816326530612245,832.2391001275566,1430.8672247807117,1750.3375000000003,0.7368421052631579,11650.844163561906,12118.341247399489,111331.07113157892,-21729.600337499938,-35468.87075250008,53,-61.31254009433947,-291.2306021743687,0.9036269344007324,0.8402145179515582,-3.6742800397219555,4.491785944312687,0.027617027382365045
Q19p0_34p0_66p0_81p0,COMBINED_SYMMETRIC,outer_+1.0pp_inner_+1.0pp,0.19,0.34,0.66,0.81,98,57,0.5816326530612245,799.954063775516,1375.3596184210621,1750.3375000000003,0.6842105263157895,11773.396595210916,12240.584723041691,111407.3613070175,-21729.600337499938,-35468.87075250008,53,-96.23955306603867,-210.3846037134045,0.8685725510854817,0.8076200913601843,-8.937437934458792,3.528349133928088,-0.04088954996817051
Q21p0_33p0_67p0_79p0,COMBINED_SYMMETRIC,outer_-1.0pp_inner_+2.0pp,0.21,0.33,0.67,0.79,98,59,0.6020408163265306,1116.3109610969445,1854.211426906789,3406.9787499999816,0.7796610169491526,11783.187103802646,12304.10794550543,113347.18908050843,-20140.861906249942,-35331.08570125008,53,278.33015801886944,-39.22990855034521,1.2120659212711349,1.0888049801249176,0.6076111288775166,3.0277039214592905,-1.7828040317138472
Q18p0_34p0_66p0_82p0,COMBINED_SYMMETRIC,outer_+2.0pp_inner_+1.0pp,0.18,0.34,0.66,0.82,98,61,0.6224489795918368,876.4691970663314,1408.098054303287,2722.663749999981,0.6721311475409836,11776.88054813768,12370.553915574685,111048.41609836061,-18009.047187499895,-31369.575050000076,53,-288.1920483490575,19.309811870502653,0.951651002122264,0.8268443133193442,-10.145375811939383,2.504023674884781,0.2814338364979574
Q21p0_36p0_64p0_79p0,COMBINED_SYMMETRIC,outer_-1.0pp_inner_-1.0pp,0.21,0.36,0.64,0.79,98,59,0.6020408163265306,963.0509846938819,1599.6440084745839,3466.1200000000003,0.7288135593220338,11905.417717989218,12372.699984955703,111689.48431355928,-21127.505656249945,-35797.56445125008,53,-47.8754410377377,44.00940375349361,1.0456596053191425,0.9393213403714331,-4.477134633834357,2.4871098704592254,-0.29422861307704107
Q20p0_33p0_67p0_80p0,COMBINED_SYMMETRIC|INNER_SYMMETRIC,inner_shift_+2.0pp,0.2,0.33,0.67,0.8,98,56,0.5714285714285714,934.0658386479649,1634.6152176339385,2430.4124999999995,0.75,11855.744798600872,12374.53529645229,111326.4486741071,-20708.386953124937,-35537.76327812508,53,245.51637028302036,-53.993872413913934,1.01418817041466,0.9598566612853029,-2.358490566037741,2.4726452403835086,0.03176787299941086
Q19p5_35p0_65p0_82p0,OUTER_ASYMMETRIC,put_0.5pp_call_2.0pp,0.195,0.35,0.65,0.82,98,57,0.5816326530612245,899.3258010204148,1546.209271929836,2260.163749999981,0.7017543859649122,11894.847512146996,12411.892839717422,112365.87858771927,-21298.537837499938,-35577.82657250008,53,-290.01154716981137,-128.6561855888218,0.9764682006397025,0.9079441163842846,-7.183051969546517,2.178219446793439,-0.9016129374125992
Q19p0_35p0_65p0_82p0,OUTER_ASYMMETRIC,put_1.0pp_call_2.0pp,0.19,0.35,0.65,0.82,98,57,0.5816326530612245,813.5035969387816,1398.6553070175542,2260.163749999981,0.6842105263157895,11949.380679330508,12488.955296784194,111876.25578070171,-21298.537837499938,-35577.82657250008,53,-448.7016603773598,-45.77769402644506,0.8832843365723761,0.8212994708479987,-8.937437934458792,1.5708675415341489,-0.46194449375380753
