candidate_id,family,label,target_q20,target_q35,target_q65,target_q80,valid_expiries,gated_trades,gate_rate,mean_net_pnl_per_valid_expiry,mean_net_pnl_per_gated_trade,median_net_pnl_per_gated_trade,win_rate,mean_es95_inr_proxy,mean_es99_inr_proxy,mean_shock9p3_gross_loss_inr,p05_realized_net_pnl_inr,p01_realized_net_pnl_inr,common_gated_n,common_gate_mean_delta_pnl_inr,common_gate_mean_delta_es99_inr,session_ev_retention,gated_ev_retention,win_delta_pp,es99_reduction_pct,shock_reduction_pct
Q18p0_33p0_67p0_82p0,COMBINED_SYMMETRIC,outer_+2.0pp_inner_+2.0pp,0.18,0.33,0.67,0.82,97,61,0.6288659793814433,928.3614452319626,1476.2468883196784,2501.8956250001097,0.7049180327868853,11451.898849180703,11987.022394081068,110762.46333196717,-18009.047187499895,-31369.575050000076,52,-182.31513221153818,-315.18894917214425,1.0026118154777464,0.8546854820466034,-6.431273644388402,5.6630500877688945,-0.1671477932527754
Q19p0_33p0_67p0_81p0,COMBINED_SYMMETRIC,outer_+1.0pp_inner_+2.0pp,0.19,0.33,0.67,0.81,97,56,0.5773195876288659,876.9145322164994,1518.9412433035795,2202.71875,0.75,11670.607540978697,12129.536239898136,110531.8314642857,-21843.126078124937,-35537.76327812508,52,13.328757211538651,-292.14734941022675,0.9470501771481072,0.8794037359232426,-1.9230769230769273,4.541477015436723,0.041422291602111194
Q22p0_33p0_67p0_78p0,COMBINED_SYMMETRIC,outer_-2.0pp_inner_+2.0pp,0.22,0.33,0.67,0.78,97,57,0.5876288659793815,1016.8039110824793,1730.350515350886,3833.838500000094,0.7894736842105263,11686.085892843164,12130.411531568872,112831.11222807012,-22329.773424999905,-35468.87075250008,51,275.4545857843153,-252.57445253949183,1.0981279118291614,1.001800902019586,2.0242914979757054,4.534588536898331,-2.037913876589692
Q19p0_34p0_66p0_81p0,COMBINED_SYMMETRIC,outer_+1.0pp_inner_+1.0pp,0.19,0.34,0.66,0.81,97,56,0.5773195876288659,818.094985180417,1417.0573850446503,1945.21875,0.6964285714285714,11805.018298265097,12273.457737199002,110654.95271428568,-21843.126078124937,-35537.76327812508,52,-71.14613100961634,-188.75189449341502,0.8835262413553082,0.8204172241156431,-7.280219780219788,3.4088258335327692,-0.06992142606401242
Q21p0_33p0_67p0_79p0,COMBINED_SYMMETRIC,outer_-1.0pp_inner_+2.0pp,0.21,0.33,0.67,0.79,97,58,0.5979381443298969,1149.4706649484583,1922.390594827594,3436.549374999991,0.7931034482758621,11832.899100802446,12356.548887746621,112634.4510905172,-20330.03692187494,-35399.97822687508,52,332.55886298077075,7.562749321166411,1.2414053557926745,1.112984112089984,2.3872679045092826,2.7549048304960966,-1.8600649498155208
Q18p0_34p0_66p0_82p0,COMBINED_SYMMETRIC,outer_+2.0pp_inner_+1.0pp,0.18,0.34,0.66,0.82,97,60,0.6185567010309279,895.3989342783542,1447.5616104166727,2738.5449999999632,0.6833333333333333,11806.452203537034,12403.401548663727,110340.1856583333,-18172.369696874895,-31418.40508562508,52,-266.79002043269327,45.359721390182635,0.9670129621220419,0.8380779005057697,-8.589743589743593,2.3861779706568997,0.21473564335791062
Q21p0_36p0_64p0_79p0,COMBINED_SYMMETRIC,outer_-1.0pp_inner_-1.0pp,0.21,0.36,0.64,0.79,97,58,0.5979381443298969,982.3465393041271,1642.8899019396606,3574.518124999991,0.7413793103448276,11936.692958337058,12405.779367532246,110968.7902068965,-21142.12754687494,-35846.53385187508,52,-22.834584134617252,69.48815416930982,1.060914638644757,0.9511648484401269,-2.785145888594165,2.36746471793029,-0.35373785231298527
Q20p0_33p0_67p0_80p0,COMBINED_SYMMETRIC|INNER_SYMMETRIC,inner_shift_+2.0pp,0.2,0.33,0.67,0.8,97,55,0.5670103092783505,965.3467268041285,1702.5205909090992,2655.0999999999995,0.7636363636363637,11909.487589887895,12431.117151014767,110538.09333181813,-20897.56196874993,-35606.65580375008,52,299.11404086538613,-7.485136924394021,1.0425551807407871,0.9856885345185623,-0.5594405594405605,2.1680582988301,0.03575942178399849
Q19p5_35p0_65p0_82p0,OUTER_ASYMMETRIC,put_0.5pp_call_2.0pp,0.195,0.35,0.65,0.82,97,56,0.5773195876288659,918.4911733247479,1590.957925223224,2508.7723437499817,0.7142857142857143,11928.637981575037,12447.824927386799,111630.58637499997,-21304.297953124937,-35577.83194062508,52,-268.64450961538466,-105.45177602028268,0.9919521189910198,0.9210983962059468,-5.494505494505497,2.036569375982056,-0.9522279236356956
Q22p0_34p0_66p0_78p0,COMBINED_SYMMETRIC,outer_-2.0pp_inner_+1.0pp,0.22,0.34,0.66,0.78,97,57,0.5876288659793815,957.9843640463968,1630.2540932017628,3778.4599999999987,0.7894736842105263,11996.890334011803,12512.99400789167,112971.77521052626,-22329.773424999905,-35468.87075250008,51,189.32332720588275,122.40909564139413,1.0346039760363621,0.9438492412963303,2.0242914979757054,1.5236936941572021,-2.165121319696972
